id,name,brand,type,price,processor,ram,storage,storageType,gpuCategory,gpuName,screenSizeRange,panelType,resolution,refreshRate,os,batteryLife,weightRange,ports,features,color,colorDisplay,condition
11,"MacBook Pro 14""",Apple,Business,1299,Apple M3,8GB,512GB,SSD,Integrated,Apple M3 GPU,"13""–14""",OLED,4K UHD,120Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 6,Gray,Space Gray,Refurbished
12,"MacBook Pro 16""",Apple,Workstation,1999,Apple M3,16GB,512GB,SSD,Integrated,Apple M3 Pro GPU,"15""–16""",OLED,4K UHD,120Hz,macOS,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,Refurbished
13,"MacBook Air 13""",Apple,Ultrabook,899,Apple M3,8GB,256GB,SSD,Integrated,Apple M2 GPU,"13""–14""",IPS,QHD,60Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Starlight,Refurbished
14,"MacBook Pro 16""",Apple,Workstation,3499,Apple M4,64GB,1TB,SSD,Integrated,Apple M4 Max GPU,"15""–16""",OLED,4K UHD,120Hz,macOS,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 7,Black,Space Black,New
15,"MacBook Pro 14""",Apple,Workstation,2199,Apple M4,32GB,2TB,SSD,Integrated,Apple M4 Pro GPU,"13""–14""",OLED,4K UHD,120Hz,macOS,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Face Recognition|Webcam|Bluetooth|Wi-Fi 7,Silver,Silver,New
16,Dell XPS 13 Plus,Dell,Ultrabook,1299,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",OLED,QHD,60Hz,Windows 11,8–12hrs,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Platinum,New
17,Dell XPS 13,Dell,Ultrabook,999,Intel Core i5,8GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Silver,Platinum,New
18,Dell XPS 15,Dell,Ultrabook,1699,Intel Core i7,16GB,512GB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4060,"15""–16""",OLED,QHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|Thunderbolt 4|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
19,Dell XPS 15,Dell,Workstation,2199,Intel Core i9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4070,"15""–16""",OLED,4K UHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|Thunderbolt 4|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Platinum,New
20,Dell XPS 17,Dell,Workstation,2499,Intel Core i9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4080,"17""+",IPS,4K UHD,60Hz,Windows 11,8–12hrs,3–4 lbs,USB-A|USB-C|Thunderbolt 4|SD Card|HDMI|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
21,Dell Inspiron 14,Dell,Student,699,Intel Core i5,8GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Blue,Midnight Blue,New
22,Dell Inspiron 15,Dell,Student,799,Intel Core i5,16GB,512GB,SSD,Integrated,Intel Iris Xe,"15""–16""",IPS,FHD,60Hz,Windows 11,8–12hrs,3–4 lbs,USB-A|USB-C|HDMI|Audio Jack,Backlit Keyboard|Numeric Keypad|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
23,Dell Inspiron 15,Dell,Student,599,AMD Ryzen 5,8GB,256GB,SSD,AMD Radeon,AMD Radeon Graphics,"15""–16""",IPS,FHD,60Hz,Windows 11,Up to 8hrs,3–4 lbs,USB-A|USB-C|HDMI|Audio Jack,Webcam|Bluetooth|Wi-Fi 6,Black,Carbon Black,New
24,Dell Inspiron 16 2-in-1,Dell,2-in-1,1099,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"15""–16""",IPS,QHD,60Hz,Windows 11,8–12hrs,3–4 lbs,USB-A|USB-C|HDMI|SD Card|Audio Jack,Touchscreen|Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Silver,Platinum Silver,New
25,Dell Latitude 14,Dell,Business,1299,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,2–3 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Carbon Black,New
26,Dell Latitude 15,Dell,Business,1599,Intel Core i7,32GB,1TB,SSD,Integrated,Intel Iris Xe,"15""–16""",IPS,FHD,60Hz,Windows 11,12hrs+,2–3 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Numeric Keypad|Webcam|Bluetooth|Wi-Fi 6,Black,Carbon Black,New
27,Dell G15 Gaming,Dell,Gaming,999,Intel Core i7,16GB,512GB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4060,"15""–16""",IPS,FHD,165Hz,Windows 11,Up to 8hrs,3–4 lbs,USB-A|USB-C|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gray,Dark Shadow Grey,New
28,Dell G16 Gaming,Dell,Gaming,1499,Intel Core i9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4070,"15""–16""",IPS,QHD,240Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|HDMI|DisplayPort|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gray,Dark Shadow Grey,New
29,Dell Precision 15,Dell,Workstation,2999,Intel Core i9,64GB,2TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4000,"15""–16""",IPS,4K UHD,60Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|Thunderbolt 4|HDMI|SD Card|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Black,New
30,Dell XPS 13 2-in-1,Dell,2-in-1,1299,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,QHD,60Hz,Windows 11,8–12hrs,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Touchscreen|Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Platinum,New
31,Dell Vostro 14,Dell,Business,649,Intel Core i5,8GB,256GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,Up to 8hrs,2–3 lbs,USB-A|USB-C|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Black,Black,New
32,Dell Inspiron 13,Dell,Student,849,Intel Core i5,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,QHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Silver,Platinum Silver,New
33,Dell XPS 13,Dell,Ultrabook,1599,Intel Core i7,32GB,1TB,SSD,Integrated,Intel Iris Xe,"13""–14""",OLED,QHD,60Hz,Windows 11,8–12hrs,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Gray,Graphite,New
34,Dell Latitude 13,Dell,Business,799,Intel Core i5,16GB,256GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Black,Refurbished
35,Dell G15 AMD,Dell,Gaming,899,AMD Ryzen 7,16GB,512GB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4060,"15""–16""",IPS,FHD,165Hz,Windows 11,Up to 8hrs,3–4 lbs,USB-A|USB-C|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gray,Phantom Grey,New
36,HP Spectre x360 14,HP,2-in-1,1399,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",OLED,QHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|Audio Jack,Touchscreen|Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Nightfall Black,New
37,HP Spectre x360 16,HP,2-in-1,1899,Intel Core i9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4050,"15""–16""",OLED,4K UHD,60Hz,Windows 11,12hrs+,3–4 lbs,USB-A|USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Touchscreen|Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Nightfall Black,New
38,HP Envy 13,HP,Ultrabook,899,Intel Core i5,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Natural Silver,New
39,HP Envy 16,HP,Ultrabook,1199,Intel Core i7,16GB,512GB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4050,"15""–16""",IPS,QHD,120Hz,Windows 11,8–12hrs,3–4 lbs,USB-A|USB-C|Thunderbolt 4|HDMI|SD Card|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
40,HP Pavilion 14,HP,Student,599,Intel Core i5,8GB,256GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gold,Warm Gold,New
41,HP Pavilion 15,HP,Student,649,AMD Ryzen 5,8GB,512GB,SSD,AMD Radeon,AMD Radeon Graphics,"15""–16""",IPS,FHD,60Hz,Windows 11,8–12hrs,3–4 lbs,USB-A|USB-C|HDMI|Audio Jack,Webcam|Bluetooth|Wi-Fi 6,White,Ceramic White,New
42,HP EliteBook 840,HP,Business,1499,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
43,HP EliteBook 850,HP,Business,1799,Intel Core i7,32GB,1TB,SSD,Integrated,Intel Iris Xe,"15""–16""",IPS,FHD,60Hz,Windows 11,12hrs+,2–3 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Numeric Keypad|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
44,HP Omen 16,HP,Gaming,1099,Intel Core i7,16GB,512GB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4070,"15""–16""",IPS,QHD,165Hz,Windows 11,Up to 8hrs,3–4 lbs,USB-A|USB-C|HDMI|DisplayPort|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Silver,Mica Silver,New
45,HP Omen 17,HP,Gaming,1699,Intel Core i9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4080,"17""+",IPS,QHD,240Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|HDMI|DisplayPort|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 7,Black,Shadow Black,New
46,HP Chromebook 14,HP,Chromebook,449,Intel Core i5,8GB,128GB,SSD,Integrated,Intel UHD Graphics,"13""–14""",IPS,FHD,60Hz,Chrome OS,12hrs+,2–3 lbs,USB-A|USB-C|Audio Jack,Webcam|Bluetooth|Wi-Fi 6,Silver,Mineral Silver,New
47,HP Dragonfly G4,HP,Business,1699,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",OLED,QHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Blue,Slate Blue,New
48,HP ZBook Studio,HP,Workstation,3299,Intel Core i9,64GB,2TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4000,"15""–16""",IPS,4K UHD,60Hz,Windows 11,8–12hrs,3–4 lbs,USB-A|USB-C|Thunderbolt 4|HDMI|SD Card|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
49,HP Envy x360 14,HP,2-in-1,999,AMD Ryzen 7,16GB,512GB,SSD,AMD Radeon,AMD Radeon Graphics,"13""–14""",OLED,QHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|HDMI|Audio Jack,Touchscreen|Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Meteor Silver,New
50,HP Pavilion x360 14,HP,2-in-1,699,Intel Core i5,8GB,256GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Audio Jack,Touchscreen|Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Silver,Natural Silver,New
51,HP EliteBook x360,HP,2-in-1,1599,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,2–3 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Touchscreen|Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
52,HP Victus 16,HP,Gaming,899,AMD Ryzen 7,16GB,512GB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4060,"15""–16""",IPS,FHD,144Hz,Windows 11,Up to 8hrs,3–4 lbs,USB-A|USB-C|HDMI|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Blue,Performance Blue,New
53,HP ProBook 445,HP,Business,749,AMD Ryzen 5,8GB,256GB,SSD,AMD Radeon,AMD Radeon Graphics,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Silver,New
54,HP Spectre x360 13,HP,2-in-1,1599,Intel Core i7,32GB,1TB,SSD,Integrated,Intel Iris Xe,"13""–14""",OLED,QHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-C|Thunderbolt 4|Audio Jack,Touchscreen|Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Blue,Poseidon Blue,New
55,HP Envy 15,HP,Ultrabook,899,Intel Core i7,16GB,512GB,SSD,NVIDIA GTX,NVIDIA GTX 1650,"15""–16""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|Thunderbolt 4|HDMI|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Silver,Natural Silver,Refurbished
56,ThinkPad X1 Carbon,Lenovo,Business,1799,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Thunder Black,New
57,ThinkPad X1 Carbon,Lenovo,Business,2199,Intel Core i7,32GB,1TB,SSD,Integrated,Intel Iris Xe,"13""–14""",OLED,QHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Thunder Black,New
58,ThinkPad T14,Lenovo,Business,1199,Intel Core i5,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,2–3 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Thunder Black,New
59,ThinkPad T14s,Lenovo,Business,1299,AMD Ryzen 7,16GB,512GB,SSD,AMD Radeon,AMD Radeon Graphics,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Thunder Black,New
60,IdeaPad 3,Lenovo,Student,549,Intel Core i5,8GB,256GB,SSD,Integrated,Intel UHD Graphics,"15""–16""",IPS,FHD,60Hz,Windows 11,Up to 8hrs,3–4 lbs,USB-A|USB-C|HDMI|Audio Jack,Webcam|Bluetooth|Wi-Fi 6,Gray,Arctic Grey,New
61,IdeaPad 5,Lenovo,Student,749,AMD Ryzen 5,16GB,512GB,SSD,AMD Radeon,AMD Radeon Graphics,"15""–16""",IPS,FHD,60Hz,Windows 11,8–12hrs,3–4 lbs,USB-A|USB-C|HDMI|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gray,Cloud Grey,New
62,IdeaPad Flex 5,Lenovo,2-in-1,799,AMD Ryzen 7,16GB,512GB,SSD,AMD Radeon,AMD Radeon Graphics,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Audio Jack,Touchscreen|Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Blue,Abyss Blue,New
63,Legion 5,Lenovo,Gaming,999,AMD Ryzen 7,16GB,512GB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4060,"15""–16""",IPS,FHD,144Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|HDMI|DisplayPort|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Blue,Phantom Blue,New
64,Legion 5 Pro,Lenovo,Gaming,1399,AMD Ryzen 9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4070,"15""–16""",IPS,QHD,165Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|HDMI|DisplayPort|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,White,Cloud White,New
65,Legion 7,Lenovo,Gaming,1699,Intel Core i9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4080,"15""–16""",IPS,QHD,165Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|HDMI|DisplayPort|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 7,Black,Eclipse Black,New
66,Yoga 9i,Lenovo,2-in-1,1399,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",OLED,QHD,60Hz,Windows 11,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|Audio Jack,Touchscreen|Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Other,Oatmeal,New
67,Yoga 7i,Lenovo,2-in-1,899,Intel Core i5,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Audio Jack,Touchscreen|Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gray,Storm Grey,New
68,ThinkBook 14,Lenovo,Business,699,AMD Ryzen 5,8GB,256GB,SSD,AMD Radeon,AMD Radeon Graphics,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gray,Mineral Grey,New
69,ThinkPad E14,Lenovo,Business,799,AMD Ryzen 5,8GB,512GB,SSD,AMD Radeon,AMD Radeon Graphics,"13""–14""",IPS,FHD,60Hz,Windows 11,8–12hrs,2–3 lbs,USB-A|USB-C|HDMI|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Black,New
70,Lenovo Slim Pro 9i,Lenovo,Ultrabook,1799,Intel Core i9,32GB,1TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4050,"13""–14""",OLED,QHD,120Hz,Windows 11,12hrs+,2–3 lbs,USB-C|Thunderbolt 4|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 7,Blue,Cosmic Blue,New
71,Legion Pro 7,Lenovo,Gaming,2499,Intel Core i9,64GB,2TB,SSD,NVIDIA RTX 4000,NVIDIA RTX 4090,"15""–16""",IPS,QHD,240Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|HDMI|DisplayPort|Ethernet|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 7,Black,Eclipse Black,New
72,IdeaPad Gaming 3,Lenovo,Gaming,699,AMD Ryzen 5,8GB,512GB,SSD,NVIDIA GTX,NVIDIA GTX 1650,"15""–16""",IPS,FHD,120Hz,Windows 11,Up to 8hrs,4+ lbs,USB-A|USB-C|HDMI|Audio Jack,Backlit Keyboard|Webcam|Bluetooth|Wi-Fi 6,Gray,Onyx Grey,New
73,ThinkPad X13,Lenovo,Business,1499,Intel Core i7,16GB,512GB,SSD,Integrated,Intel Iris Xe,"13""–14""",IPS,FHD,60Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Thunderbolt 4|Ethernet|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Black,Thunder Black,New
74,Yoga Slim 7,Lenovo,Ultrabook,1099,AMD Ryzen 7,16GB,512GB,SSD,AMD Radeon,AMD Radeon Graphics,"13""–14""",OLED,QHD,90Hz,Windows 11,12hrs+,Under 2 lbs,USB-A|USB-C|Audio Jack,Backlit Keyboard|Fingerprint Reader|Webcam|Bluetooth|Wi-Fi 6,Gray,Slate Grey,New
